Pays,Latitude,Longitude
Allemagne,51.165691,10.451526
Argentine,-38.416097,-63.616672
Australie,-25.274398,133.775136
Autriche,47.516231,14.550072
Belgique,50.503887,4.469936
Brésil,-14.235004,-51.92528
Canada,56.130366,-106.346771
Chine,35.86166,104.195397
Corée du Sud,35.907757,127.766922
Cuba,21.521757,-77.781167
Danemark,56.26392,9.501785
Égypte,26.820553,30.802498
Espagne,40.463667,-3.74922
États-Unis,37.09024,-95.712891
France,46.227638,2.213749
Grèce,39.074208,21.824312
Hong Kong,22.396428,114.109497
Hongrie,47.162494,19.503304
Inde,20.593684,78.96288
Iran,32.427908,53.688046
Irlande,53.41291,-8.24389
Israël,31.046051,34.851612
Italie,41.87194,12.56738
Japon,36.204824,138.252924
Mali,17.570692,-3.996166
Mexique,23.634501,-102.552784
Norvège,60.472024,8.468946
Nouvelle-Zélande,-40.900557,174.885971
Pérou,-9.189967,-75.015152
Pologne,51.919438,19.145136
Portugal,39.399872,-8.224454
République fédérale d'Allemagne,52.165691,10.451526
Royaume-Uni,55.378051,-3.435973
Roumanie,45.943161,24.96676
Russie,61.52401,105.318756
Sénégal,14.497401,-14.452362
Suède,60.128161,18.643501
Suisse,46.818188,8.227512
Taïwan,23.69781,120.960515
Tchéquie,49.817492,15.472962
Tchécoslovaquie,49,15.5
Thaïlande,15.870032,100.992541
Turquie,38.963745,35.243322
Union Soviétique,55.755826,37.617633
Yougoslavie,44.016521,21.005859
